run,k_stoppages,timing_band,first_start_day,passive_tardiness,model1_tardiness,model2_tardiness
129,1,middle,32.1,4.3,4.3,0.86
130,1,middle,67.8,3.51,3.51,1.323
131,1,middle,34.8,13.4,13.4,9.025
132,1,middle,77.5,5.12,5.12,3.028
133,1,middle,37.2,3.75,3.75,0.75
134,1,middle,33.3,8.85,8.85,4.475
135,1,late,98.0,0.55,0.55,0.0
136,1,late,104.7,0.71,0.71,0.71
137,1,late,93.8,1.2,1.2,0.6
138,1,late,92.3,1.32,1.32,0.66
139,1,late,99.1,0.81,0.81,0.477
140,1,late,110.7,0.79,0.79,0.79
141,1,late,104.0,0.62,0.62,0.62
142,1,late,100.0,0.36,0.36,0.027
143,1,late,97.5,0.35,0.35,0.0
144,1,late,110.1,1.24,1.24,1.24
145,1,late,95.9,2.2,2.2,1.106
146,1,late,115.3,0.0,0.0,0.0
147,1,late,112.3,1.02,1.02,1.02
148,1,late,103.9,1.93,1.93,1.93
149,1,late,101.2,1.16,1.16,1.16
150,1,late,108.9,2.65,2.65,2.65
151,1,late,99.9,1.93,1.93,1.597
152,1,late,109.4,1.42,1.42,1.42
153,1,late,101.5,0.88,0.88,0.88
154,1,late,92.4,1.1,1.1,0.55
155,1,late,92.8,0.98,0.98,0.49
156,1,late,109.4,2.08,2.08,2.08
157,1,late,95.9,0.88,0.88,0.44
158,1,late,112.1,0.59,0.59,0.59
159,1,late,112.9,0.51,0.51,0.51
160,1,late,99.8,1.34,1.34,1.007
161,1,late,113.2,0.37,0.37,0.37
162,1,late,105.9,0.46,0.46,0.46
163,1,late,96.1,0.63,0.63,0.0
164,1,late,116.6,0.0,0.0,0.0
165,1,late,114.8,0.57,0.57,0.57
166,1,late,105.2,1.86,1.86,1.86
167,1,late,103.9,1.35,1.35,1.35
168,1,late,97.4,0.99,0.99,0.088
169,1,late,105.8,0.86,0.86,0.86
170,1,late,103.9,0.78,0.78,0.78
171,1,late,98.9,1.11,1.11,0.62
172,1,late,112.7,0.95,0.95,0.95
173,1,late,92.8,1.04,1.04,0.52
174,1,late,94.5,0.92,0.92,0.46
175,1,late,114.0,0.59,0.59,0.59
176,1,late,112.3,2.04,2.04,2.04
177,1,late,93.6,1.54,1.54,0.77
178,1,late,116.4,0.0,0.0,0.0
179,1,late,95.1,1.16,1.16,0.58
180,1,late,93.3,1.52,1.52,0.76
181,1,late,116.8,0.0,0.0,0.0
182,1,late,98.4,1.07,1.07,0.312
183,1,late,91.3,1.74,1.74,0.87
184,1,late,115.0,1.58,1.58,1.58
185,1,late,96.3,1.89,1.89,0.844
186,1,late,91.7,0.7,0.7,0.35
187,1,late,100.2,0.63,0.63,0.297
188,1,late,107.0,2.31,2.31,2.31
189,1,late,97.4,2.29,2.29,1.388
190,1,late,110.2,0.83,0.83,0.83
191,1,late,107.0,0.94,0.94,0.94
192,1,late,107.4,1.58,1.58,1.58
193,1,late,103.2,0.92,0.92,0.92
194,1,late,108.9,2.84,2.84,2.84
195,1,late,92.5,2.58,2.58,1.486
196,1,late,115.6,0.0,0.0,0.0
197,1,late,97.2,0.72,0.72,0.0
198,1,late,102.6,0.47,0.47,0.47
199,1,late,104.3,1.79,1.79,1.79
200,1,late,110.6,1.47,1.47,1.47
201,2,early,3.1,5.64,5.64,1.078
202,2,early,3.5,13.86,13.86,8.058
203,2,early,9.2,10.15,10.15,4.969
204,2,early,5.6,14.46,14.46,9.635
205,2,early,29.2,11.13,11.13,7.154
206,2,early,10.0,5.44,5.44,1.385
207,2,early,14.8,7.41,7.41,3.0
208,2,early,1.1,7.85,7.85,2.433
209,2,early,2.2,9.06,9.06,2.785
210,2,early,18.0,14.55,14.55,9.081
211,2,early,21.8,5.6,5.6,0.946
212,2,early,29.6,13.82,13.82,9.445
213,2,early,2.3,15.64,15.64,8.669
214,2,early,22.3,4.04,4.04,0.999
215,2,early,15.6,12.95,12.95,7.481
216,2,early,17.9,10.67,10.67,5.201
217,2,early,7.7,8.76,8.76,3.291
218,2,early,4.0,8.96,8.96,3.206
219,2,early,19.2,7.38,7.38,1.911
220,2,early,24.1,8.17,8.17,3.724
221,2,early,20.1,11.9,11.9,6.575
222,2,early,3.2,13.14,13.14,7.338
223,2,early,22.5,6.59,6.59,1.811
224,2,early,14.9,13.14,13.14,7.671
225,2,early,19.6,6.6,6.6,1.623
226,2,early,22.6,7.76,7.76,3.052
227,2,early,2.8,16.75,16.75,10.948
228,2,early,20.6,10.22,10.22,4.943
229,2,early,14.5,16.09,16.09,10.621
230,2,early,29.4,2.87,2.87,1.296
231,2,early,24.8,6.01,6.01,1.6
232,2,early,7.1,5.32,5.32,1.942
233,2,early,5.1,16.26,16.26,10.791
234,2,early,24.8,15.31,15.31,10.935
235,2,early,7.7,7.1,7.1,1.631
236,2,early,1.1,9.6,9.6,3.24
237,2,early,5.1,12.78,12.78,7.623
238,2,early,1.1,12.78,12.78,6.361
239,2,early,27.9,12.48,12.48,8.105
240,2,early,11.8,22.74,22.74,17.271
241,2,early,11.5,6.34,6.34,1.124
242,2,early,3.9,7.01,7.01,2.463
243,2,early,8.2,10.22,10.22,4.68
244,2,early,11.8,14.52,14.52,8.837
245,2,early,19.3,15.4,15.4,9.931
246,2,early,21.9,13.5,13.5,8.367
247,2,early,22.8,4.76,4.76,0.919
248,2,early,27.9,9.9,9.9,5.525
249,2,early,9.6,17.08,17.08,11.611
250,2,early,20.0,10.14,10.14,4.767
251,2,early,5.9,15.02,15.02,9.791
252,2,early,15.4,27.4,27.4,21.813
253,2,early,14.0,6.34,6.34,1.315
254,2,early,10.9,7.96,7.96,2.587
255,2,early,17.5,11.13,11.13,5.661
256,2,early,13.0,8.19,8.19,3.145
257,2,early,2.8,17.93,17.93,11.972
258,2,early,15.6,13.54,13.54,8.071
259,2,early,8.9,11.07,11.07,5.53
